45 sec | A tiny baby seal trying to climb back onto a slippery, bobbing ice floe in a violently stormy sea.
55 sec | A heroic climber swinging an ice axe to stop himself from sliding down a terrifyingly steep snowy drop.
40 sec | A young girl hugging her shivering husky dog tightly inside a dark, collapsing frozen ice cave.
50 sec | A brave snow leopard leaping across floating, cracking ice blocks in a rapidly flowing freezing river.
35 sec | A lost explorer stumbling blindly through a massive whiteout, covering his face from the sharp icy wind.
45 sec | A heroic sled dog pulling a heavy wooden sled through deep, thick muddy snow in the dark woods.
40 sec | A terrified hiker sprinting down a snowy mountain path to outrun a massive, roaring white avalanche.
50 sec | A majestic snowy owl flying desperately against a violent, freezing hurricane wind to reach its nest.
35 sec | A brave young boy breaking a hole in the thick ice to pull out his drowning, freezing pet dog.
45 sec | A small penguin sliding on its belly across a chaotic, shaking ice field during a massive earthquake.
55 sec | A heroic mountaineer dragging a heavy injured friend on a makeshift sled through a blinding snowstorm.
40 sec | A wild arctic wolf running through a dark, foggy snowy forest, escaping from a pack of shadowy hunters.
50 sec | A young woman building a thick snow wall rapidly to block the aggressive, freezing midnight wind.
35 sec | A brave husky barking aggressively at a cracking ice bridge, warning the approaching explorers to stop.
45 sec | A lost baby polar bear crying out emotionally while standing alone on a tiny, melting piece of floating ice.
50 sec | A heroic climber leaping across a massive, terrifying dark crevasse in the high snowy peaks.
40 sec | A young boy running through a maze of giant collapsing icicles inside a beautiful but deadly ice cave.
45 sec | A brave snow fox jumping high to catch a falling frozen branch before it crushes a hidden burrow.
55 sec | A terrified explorer crawling on his stomach across a thin, transparent frozen lake to avoid breaking the ice.
35 sec | A heroic sled dog fighting against a massive gust of wind that threatens to blow the sled off the cliff.
45 sec | A majestic reindeer galloping through a thick snowy valley, dodging falling rocks from an avalanche above.
50 sec | A young girl wiping thick snow off a buried wooden cabin door, desperately trying to pry it open.
40 sec | A brave penguin swimming incredibly fast through a narrow underwater ice tunnel to escape a leopard seal.
45 sec | A lost hiker shining a dim, flickering flashlight into the vast, dark, and terrifyingly empty snowy wasteland.
35 sec | A heroic rescue helicopter lowering a thick rope to a climber stranded on a tiny, shaking icy peak.
50 sec | A wild arctic hare running furiously from a sudden, violent crack opening up in the frozen ground.
40 sec | A young boy holding onto a sturdy pine tree while a massive, heavy wave of snow rushes past him.
45 sec | A brave husky digging furiously in the deep snow to uncover a buried, vital medical supply box.
55 sec | A terrified explorer sliding down a massive icy slope, using his heavy boots to slow down the terrifying fall.
35 sec | A mother polar bear standing fiercely in front of a dark, shadowy ice cave, protecting her young cub.
45 sec | A heroic climber pulling himself up over the edge of a snowy cliff just as the rock below him crumbles.
50 sec | A young woman walking through a beautiful, silent snowy forest as the massive storm finally begins to clear.
40 sec | A brave snow leopard climbing a sheer, vertical frozen waterfall, its claws gripping the slippery ice.
45 sec | A lost boy finding a warm, glowing campfire inside a small rocky cave in the freezing dark mountains.
35 sec | A heroic sled dog looking back at its owner, barking encouragingly through the thick, blowing snow.
50 sec | A wild arctic wolf standing on a high snowy cliff, howling loudly into the freezing, windy night sky.
40 sec | A young explorer wiping ice from his goggles, looking in awe at a massive, glowing blue glacier.
45 sec | A brave penguin leaping high out of the dark freezing water onto a safe, sturdy shelf of white ice.
55 sec | A terrified hiker pressing his back against a cold rock wall as a massive snowslide roars inches away.
35 sec | A heroic rescuer pulling a heavy sled carrying a survivor towards the bright lights of a mountain cabin.
45 sec | A majestic reindeer walking gracefully through a calm, gently snowing valley as the sun begins to rise.
50 sec | A young girl hugging her brave husky tightly, burying her cold face in the dog's thick, warm fur.
40 sec | A brave arctic fox running across a pristine, untouched white snowfield, leaving a trail of tiny footprints.
45 sec | A heroic climber planting a small flag on the snowy summit while violent winds whip his heavy jacket.
55 sec | A lost polar bear cub finally spotting its mother through the thick, clearing morning fog.
40 sec | A young explorer looking up at the sky as the dark clouds break, revealing a stunning, colorful aurora borealis.
50 sec | A brave husky sitting proudly in the snow, watching the rescue helicopter fly away safely into the horizon.
35 sec | A majestic snowy owl taking off from a frozen branch, flying silently into the beautiful winter morning.
45 sec | A heroic mountaineer taking off his heavy icy gloves, smiling as he finally reaches the warm safe cabin.
